VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
gI0VwjtRWUI,https://www.youtube.com/watch?v=gI0VwjtRWUI,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Lộ trình học Ngôn ngữ Anh từ xa cho người bận rộn,1,102,591,2025-10-07T09:59:59Z,41S,0
F0xS2lor-1Y,https://www.youtube.com/watch?v=F0xS2lor-1Y,UCOI_UnOfJQljXyfZ1fBD3_g,Trường Đại Học Công Đoàn - Hệ Đại học từ xa,Personal,Top 5 lý do nên chọn hệ từ xa trường Đại học Công Đoàn,5,14,1117,2025-09-19T10:06:04Z,17S,0
kaWq7EnT_ZQ,https://www.youtube.com/watch?v=kaWq7EnT_ZQ,UCNo-VoUoEB2SRcNZevSiixg,Đại Học Sư Phạm TPHCM - Hệ Vừa Học Vừa Làm,Personal,"Bằng Tốt Nghiệp Hệ Liên Thông, Văn Bằng 2, Vừa Học Vừa Làm, Có Khác Văn Bằng Chính Quy Hay Không?",36,166,6091,2024-06-25T10:18:36Z,21S,0
G_b5qSqaRZE,https://www.youtube.com/watch?v=G_b5qSqaRZE,UCaT97J_GD5RP-NuzhfKypZw,Himeikr🫧,Personal,Daily cuối tuần của sinh viên hệ đại học từ xa tại Hàn Quốc 😆 #shorts,72,426,2758,2025-09-14T11:53:57Z,1M2S,0
5olGwxjLTBA,https://www.youtube.com/watch?v=5olGwxjLTBA,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Văn Bằng Đại Học Hệ Từ Xa Có Giá Trị Như Thế Nào? #hocdaihoconline #tuyensinh2025 #daihocxuxa,0,594,141,2025-07-03T04:29:51Z,59S,0
V4-zVa04Ik0,https://www.youtube.com/watch?v=V4-zVa04Ik0,UCGIfyBV_RKDSS11PjHns2Dw,KIẾN TẠO TƯƠNG LAI,Personal,Đại Học Online - Đại Học Từ Xa - Đại Học Trực Tuyến,2,27,50,2025-01-29T09:18:56Z,3M51S,2
OEnhNdiOK3s,https://www.youtube.com/watch?v=OEnhNdiOK3s,UCSvkQfiZLVX9YruUYWI33nQ,Đại học Từ Xa - Trường Đại học Lao động - Xã hội,Personal,Khai Giảng ngày 12/10 - Hệ từ xa Trường Đại học Lao động - Xã hội,69,15,40362,2025-10-03T02:32:16Z,32S,0
D4eNQW5RcnM,https://www.youtube.com/watch?v=D4eNQW5RcnM,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Học Viên TNU Hệ Từ Xa Nói Gì Về Chương Trình? #daihoctuxa #daihocthainguyen,2,367,1858,2025-07-01T03:36:06Z,1M14S,0
S7689fC7AhY,https://www.youtube.com/watch?v=S7689fC7AhY,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Giá trị bằng đại học từ xa Ngôn ngữ Anh,2,102,1128,2025-10-06T09:19:39Z,38S,0
xStWWaNu-hg,https://www.youtube.com/watch?v=xStWWaNu-hg,UCr7RNQB4deyiJ4i-EU8SNkg,Đại Học Trà Vinh (TVU) - Đại học số,Personal,HỌC HỆ ĐÀO TẠO TỪ XA CỦA TRƯỜNG ĐẠI HỌC TRÀ VINH CÓ GÌ HOT?,26,347,607,2024-12-26T07:45:00Z,1M14S,2
mkxhzN-G_O0,https://www.youtube.com/watch?v=mkxhzN-G_O0,UCj393f51bbTXrKokrv8-rOg,Tuyển sinh Đại học từ xa - Học đại học Online ,Personal,TRƯỜNG ĐẠI HỌC CÔNG ĐOÀN TUYỂN SINH ĐẠI HỌC TỪ XA - HỌC ONLINE 100%,2,28,176,2025-10-27T07:19:55Z,13S,0
XK3ly38YRD0,https://www.youtube.com/watch?v=XK3ly38YRD0,UCRTXY55odJaAQTpIIPuBGJg,Tuyển sinh Đại học từ xa - Mine,Personal,Đại học Kinh Tế Quốc Dân hệ từ xa - Tuyển sinh hệ từ xa 2025,6090,15,97285,2025-05-24T04:03:44Z,10S,0
VGGmleWF5-k,https://www.youtube.com/watch?v=VGGmleWF5-k,UCj393f51bbTXrKokrv8-rOg,Tuyển sinh Đại học từ xa - Học đại học Online ,Personal,Ngành Công tác xã hội Học từ xa 100% online – Cơ hội cho người bận rộn!,0,28,14,2025-07-25T03:34:19Z,36S,0
Z4KmtRiR8Ms,https://www.youtube.com/watch?v=Z4KmtRiR8Ms,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Sự khác nhau đại học Ngôn ngữ Anh hệ từ xa và chính quy,0,102,124,2025-10-08T04:31:20Z,41S,0
OLnDOPEm7oQ,https://www.youtube.com/watch?v=OLnDOPEm7oQ,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Trường Đại học Mở EHOU - Hệ từ xa - Ngành Ngôn Ngữ Anh. Học Online 100% #tienganhchonguoidilam,94,102,39351,2025-09-19T04:52:39Z,24S,0
EOAtrsjEvHg,https://www.youtube.com/watch?v=EOAtrsjEvHg,UCw9xEP3KPWY5gzkEPAo0xlQ,NHAT TIN EDUTECH,Personal,HƯỚNG DẪN ĐĂNG KÝ HỌC TỪ XA TRÊN ĐIỆN THOẠI DI ĐỘNG,4,506,442,2021-10-10T10:01:34Z,5M31S,0
JLaZ5FakpVo,https://www.youtube.com/watch?v=JLaZ5FakpVo,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,"Những ngành học ""hot"" hệ từ xa tại Trường Đại học Mở Hà Nội",1,102,230,2025-08-18T10:13:04Z,54S,1
VL6bM-9Uysw,https://www.youtube.com/watch?v=VL6bM-9Uysw,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Giới thiệu về hồ sơ hệ đào tạo từ xa Đại Học Thái Nguyên I Cần chuẩn bị những gì?,3,594,316,2024-11-04T07:00:16Z,2M1S,1
rCCz81i2VqE,https://www.youtube.com/watch?v=rCCz81i2VqE,UCW60en-uPCwkTfG4SNGLcFA,Ho Chi Minh City Open University,Personal,Phương thức đào tạo từ xa của Trường Đại học Mở Tp. Hồ Chí Minh,36,4610,7459,2015-03-19T05:07:14Z,15M34S,0
xvUNjrh3gig,https://www.youtube.com/watch?v=xvUNjrh3gig,UCBRx6e7sd8j_YAx02JrFJ6g,Viện Đào Tạo Trực Tuyến - Trường Đại Học Hoa Sen,Personal,Đại học từ xa   Tấm bằng danh giá trường Đại học Hoa Sen,1,53,120,2023-10-05T04:48:08Z,1M2S,0
pMY7PKxwrp8,https://www.youtube.com/watch?v=pMY7PKxwrp8,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Giới thiệu hệ đào tạo từ xa Trường Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên,9,594,364,2024-01-29T07:42:35Z,49S,0
kmFfxt4A8CM,https://www.youtube.com/watch?v=kmFfxt4A8CM,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Mất gốc tiếng Anh có thể học Đại học từ xa không,3,102,652,2025-10-16T01:15:38Z,40S,0
yARBh_hX9hQ,https://www.youtube.com/watch?v=yARBh_hX9hQ,UCQo2IaqC86B7iN-du4avmmQ,THƯỢNG TÔN PHÁP LUẬT,Personal,Trường Đại học Công đoàn khai giảng khóa học từ xa – Mở rộng cơ hội học tập,0,711,46,2025-11-23T15:23:02Z,2M57S,0
U3qYn2_N9o4,https://www.youtube.com/watch?v=U3qYn2_N9o4,UCGIfyBV_RKDSS11PjHns2Dw,KIẾN TẠO TƯƠNG LAI,Personal,Đại Học Trực Tuyến - Đại Học Online - Đại Học Từ Xa,0,27,24,2025-01-29T16:06:27Z,8M7S,0
5PzD-qxbJQI,https://www.youtube.com/watch?v=5PzD-qxbJQI,UCj393f51bbTXrKokrv8-rOg,Tuyển sinh Đại học từ xa - Học đại học Online ,Personal,TUYỂN SINH NGÀNH LUẬT KINH TẾ ĐẠI HỌC TỪ XA ĐẠI HỌC KINH TẾ QUỐC DÂN,1,28,126,2025-08-18T01:48:46Z,18S,1
qt2QXcKBlI0,https://www.youtube.com/watch?v=qt2QXcKBlI0,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Ngôn ngữ Anh trong thời đại 4.0 - chương trình học từ xa,9,594,177,2024-01-20T13:26:11Z,2M45S,3
opJnpDvObFU,https://www.youtube.com/watch?v=opJnpDvObFU,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,📚 5 Kinh Nghiệm Học Từ Xa Thành Công Bạn Nên Biết,1,102,25375,2025-07-15T09:47:56Z,1M32S,0
fu_tzQsoxZg,https://www.youtube.com/watch?v=fu_tzQsoxZg,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Chương trình học hệ từ xa - đại học từ xa Trường Đại Học Kinh Tế Quốc Dân,10,594,1332,2024-01-24T05:30:09Z,1M,0
_FPCBFyxjac,https://www.youtube.com/watch?v=_FPCBFyxjac,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,"Sự kiện khai giảng -  Chương trình đào tạo từ xa Đại Học Thái Nguyên, ngày 13/10/2024",4,594,68,2024-11-11T01:56:35Z,2M27S,1
PZD5zw1xdr0,https://www.youtube.com/watch?v=PZD5zw1xdr0,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Chương trình đại học từ xa - đại học trực tuyến Trường Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên,7,594,610,2024-02-29T08:26:56Z,3M24S,7
ozNyHaPP6FM,https://www.youtube.com/watch?v=ozNyHaPP6FM,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Chương trình đào tạo trực tuyến - đại học từ xa Trường Đại Học Kinh Tế Quốc Dân,0,594,87,2024-05-12T04:30:06Z,13S,0
